ticker|name|targetEntry|targetExit|matchedSymbol|reason
SWEL||0.07|||no symbol match in the active universe
METX|ME Therapeutics Holdings Inc|3|6||no symbol match in the active universe
HYVE||100|||no symbol match in the active universe
PURP||50|||no symbol match in the active universe
LON:SHOE|Shoe Zone PLC|50|200||no symbol match in the active universe
LDO|Leonardo SpA|5.5|50||no symbol match in the active universe
FVE||4.5|10||no symbol match in the active universe
AMRS||10|||no symbol match in the active universe
TSE:AIF|Altus Group Ltd|40|||no symbol match in the active universe
PSTI||4|||no symbol match in the active universe
KL||30|||no symbol match in the active universe
VERO||1|5||no symbol match in the active universe
SWI|Swire Pacific Ord Shs A|10|||no symbol match in the active universe
BBI||1|||no symbol match in the active universe
AVGR||0.6|||no symbol match in the active universe
ISR||1|||no symbol match in the active universe
OBSV||3|10||no symbol match in the active universe
STSA||4.5|||no symbol match in the active universe
POAI||1|||no symbol match in the active universe
LON:SUPR|Supermarket Income REIT PLC|70|||no symbol match in the active universe
LBTI|Lithium & Boron Technology Inc|2.5|4|LBTI|no comparable price (name overlap 1.00 is not independent evidence)
NAKD||0.5|||no symbol match in the active universe
CLVS||5|||no symbol match in the active universe
HYRE||7.5|||no symbol match in the active universe
CGIX||5|10||no symbol match in the active universe
GHVI||18|30||no symbol match in the active universe
BFIT|Basic-Fit NV|20||BFIT|currency EUR vs USD
BRQS||2.5|6||no symbol match in the active universe
STIC||10|||no symbol match in the active universe
ESGC|Invesco S&P/TSX Composite ESG Index ETF (CAD)|1|||no symbol match in the active universe
LON:SHI|SIG plc|30|||no symbol match in the active universe
RESN||3.5|||no symbol match in the active universe
TKAT||30|||no symbol match in the active universe
CWRK||3|||no symbol match in the active universe
SINO||7|||no symbol match in the active universe
AIKI||1|||no symbol match in the active universe
RMO|Rainy Mountain Royalty Corp|10|15||no symbol match in the active universe
AZRE||20|||no symbol match in the active universe
LON:ROO||100|500||no symbol match in the active universe
VMEO||5|||no symbol match in the active universe
GHSI||1.5|||no symbol match in the active universe
NYSE:PATH|UiPath Inc|12|||no symbol match in the active universe
EPA:SOP|Sopra Steria Group SA|150|||no symbol match in the active universe
LON:CBG|Close Brothers Group plc|200|400||no symbol match in the active universe
SHCO||3|||no symbol match in the active universe
EPA:AIR|Airbus SE|100|||no symbol match in the active universe
LON:WPP|WPP PLC|270||WPP|currency GBX vs USD
LON:ANTO|Antofagasta plc|2500|||no symbol match in the active universe
LON:FUTR|Future plc|300|||no symbol match in the active universe
LON:CAML|Central Asia Metals PLC|150|||no symbol match in the active universe
EPA:RMS|Hermes International SCA|1000|||no symbol match in the active universe
LON:SML|Strategic Minerals PLC|2.5|||no symbol match in the active universe
MCD|McDonald's Corp|150|||no symbol match in the active universe
